seed,n_nodes,e_proba,max_weight,u_prop,f_prop,strat,weight_sum,n_entro,gini,imb_ratio,prop_sim
655,50,0.1,10,0.1,0.9,p_fixed,177,0.3384052625100084,0.2149104539775093,7.166666666666667,0.9158163265306124
655,50,0.1,10,0.1,0.9,p_dynamic,142,0.522669600188868,0.3115368596418159,20.000000000000004,0.9517006802721087
655,50,0.1,10,0.1,0.9,minority,181,0.7222638909225594,0.4614743856726364,8.5,0.6709409427487809
655,50,0.1,10,0.1,0.9,p_weights,152,0.4605892125609515,0.3248646397334444,3.9,0.8374507697815969
655,50,0.1,10,0.1,0.9,kruskal,128,0.0906811169816235,0.0399833402748854,48.0,0.9424556707929072
655,50,0.1,10,0.2,0.8,p_fixed,168,0.5606736244508914,0.4248229904206581,2.2666666666666666,0.9522712310730744
655,50,0.1,10,0.2,0.8,p_dynamic,171,0.5793801642856949,0.4444444444444445,2.0,0.9350282485875706
655,50,0.1,10,0.2,0.8,minority,145,0.7815971566737082,0.5347771761765931,9.333333333333332,0.6659340659340658
655,50,0.1,10,0.2,0.8,p_weights,162,0.7894438438734138,0.5247813411078717,7.500000000000001,0.7133786848072563
655,50,0.1,10,0.2,0.8,kruskal,169,0.7548575733793659,0.53125,13.0,0.8880952380952382
655,50,0.1,10,0.3,0.7,p_fixed,148,0.8656684691272171,0.5855893377759266,4.6000000000000005,0.9387755102040816
655,50,0.1,10,0.3,0.7,p_dynamic,144,0.8880139215425095,0.5797584339858393,3.1111111111111107,0.8231292517006803
655,50,0.1,10,0.3,0.7,minority,162,0.9901446640020533,0.6597251145356102,1.3846153846153846,0.8027210884353742
655,50,0.1,10,0.3,0.7,p_weights,133,0.8941111578818987,0.6006944444444444,3.6666666666666665,0.9
655,50,0.1,10,0.3,0.7,kruskal,174,0.8115556228359727,0.546438983756768,7.0,0.87409200968523
655,50,0.1,10,0.4,0.6,p_fixed,155,0.9161643150146452,0.6120416478044364,3.1428571428571432,0.818523153942428
655,50,0.1,10,0.4,0.6,p_dynamic,173,0.858890009237801,0.5789254477301125,5.0,0.9693086536940356
655,50,0.1,10,0.4,0.6,minority,176,0.9760375431388943,0.6501736111111112,1.7272727272727273,0.7149122807017544
655,50,0.1,10,0.4,0.6,p_weights,130,0.8394416374929575,0.5729166666666667,5.5,0.7459349593495935
655,50,0.1,10,0.4,0.6,kruskal,141,0.9949671453369224,0.6630570595585173,1.2857142857142858,0.9630541871921184
655,50,0.1,10,0.5,0.5,p_fixed,161,0.9928412413327482,0.6613910870470637,1.3571428571428572,0.8826530612244898
655,50,0.1,10,0.5,0.5,p_dynamic,153,0.8563019390740689,0.5577184246265279,4.0,0.8085106382978723
