seed,diversity,u_prop,m,strat,gen,weight_sum,n_entro,gini,imb_ratio,prop_sim
655,0.0,0.2,1,p_weights,ba,22612,0.6302825291519593,0.4081632653061224,18.000000000000004,1.0
655,0.5,0.2,1,p_weights,ba,25281,0.5445684476282007,0.40816326530612246,2.5,1.0
655,0.75,0.2,1,p_weights,ba,24928,0.5875876357678075,0.4531445231153686,1.8823529411764706,1.0
655,0.875,0.2,1,p_weights,ba,29046,0.8349262938716921,0.5697625989171178,6.0,1.0
655,0.9375,0.2,1,p_weights,ba,25669,0.4605892125609515,0.3248646397334444,3.9,1.0
655,0.96875,0.2,1,p_weights,ba,24216,0.5920945117338666,0.3998334027488546,36.00000000000001,1.0
655,0.984375,0.2,1,p_weights,ba,24084,0.7617405093992768,0.5147855060391504,10.0,1.0
655,0.9921875,0.2,1,p_weights,ba,23426,0.7554506138599203,0.5331112036651395,13.000000000000002,1.0
655,0.99609375,0.2,1,p_weights,ba,24153,0.7987161765210847,0.5522698875468555,8.333333333333334,1.0
655,0.998046875,0.2,1,p_weights,ba,25524,0.6869770142277468,0.46314035818409,16.5,1.0
655,0.0,0.2,2,p_weights,ba,15391,0.4605892125609515,0.3248646397334444,3.9,0.9289965986394557
655,0.5,0.2,2,p_weights,ba,14325,0.8918622884746461,0.5997501041232819,3.666666666666667,0.8511904761904763
655,0.75,0.2,2,p_weights,ba,16742,0.5920945117338666,0.3998334027488546,36.00000000000001,0.9893707482993197
655,0.875,0.2,2,p_weights,ba,14013,0.7554506138599203,0.5331112036651395,13.000000000000002,0.8928571428571429
655,0.9375,0.2,2,p_weights,ba,15074,0.4341097175617837,0.299875052061641,4.444444444444445,0.8618197278911566
655,0.96875,0.2,2,p_weights,ba,16184,0.7491640618792451,0.5022907122032486,10.333333333333334,0.9247448979591837
655,0.984375,0.2,2,p_weights,ba,14755,0.8349262938716921,0.5697625989171178,6.0,0.8337585034013606
655,0.9921875,0.2,2,p_weights,ba,17607,0.921863232269303,0.6130778842149105,3.0,0.8401360544217686
655,0.99609375,0.2,2,p_weights,ba,15725,0.8656684691272171,0.5855893377759266,4.6000000000000005,0.8779761904761905
655,0.998046875,0.2,2,p_weights,ba,14558,0.758620690735449,0.5364431486880467,12.500000000000002,0.7495748299319729
655,0.0,0.2,3,p_weights,ba,10256,0.6805725229561552,0.4897959183673469,30.000000000000004,0.9603415834418874
655,0.5,0.2,3,p_weights,ba,10362,0.7946611788051435,0.5481049562682215,8.666666666666668,0.9548415110725141
655,0.75,0.2,3,p_weights,ba,7935,0.7442939471117122,0.5214493960849645,14.0,0.8520770010131712
655,0.875,0.2,3,p_weights,ba,11736,0.6702512071242509,0.4789670970428988,31.000000000000004,0.974525980605008
655,0.9375,0.2,3,p_weights,ba,12076,0.6444808047304881,0.4523115368596418,33.0,0.9597626284556375
655,0.96875,0.2,3,p_weights,ba,9816,0.7617405093992768,0.5147855060391504,10.0,0.7634968881169489
655,0.984375,0.2,3,p_weights,ba,11983,0.6302825291519593,0.4081632653061224,18.000000000000004,0.7672600955275728
655,0.9921875,0.2,3,p_weights,ba,12299,0.7506809663971351,0.5281132861307788,13.5,0.6552323056882325
655,0.99609375,0.2,3,p_weights,ba,12796,0.7506809663971351,0.5281132861307788,13.5,0.6552323056882327
655,0.998046875,0.2,3,p_weights,ba,12702,0.8631309591809789,0.5830903790087464,4.8,0.7739180778694457
655,0.0,0.2,4,p_weights,ba,9796,0.6702512071242509,0.4789670970428988,31.000000000000004,0.9256876663708962
655,0.5,0.2,4,p_weights,ba,9788,0.8814468835960824,0.5897542690545606,4.166666666666667,0.8651286601597161
655,0.75,0.2,4,p_weights,ba,8167,0.6289220687878014,0.436484798000833,34.0,0.8660159716060336
655,0.875,0.2,4,p_weights,ba,8826,0.6289220687878014,0.436484798000833,34.0,0.9600709849157054
655,0.9375,0.2,4,p_weights,ba,8702,0.9105571786408584,0.6089129529362765,3.285714285714286,0.8555900621118013
655,0.96875,0.2,4,p_weights,ba,8518,0.7617405093992768,0.5147855060391504,10.0,0.8331854480922805
655,0.984375,0.2,4,p_weights,ba,12224,0.4847316001154329,0.34818825489379424,3.4545454545454546,0.6923247559893522
655,0.9921875,0.2,4,p_weights,ba,8383,0.906112313311393,0.6047480216576426,3.428571428571429,0.84472049689441
655,0.99609375,0.2,4,p_weights,ba,9865,0.8814468835960824,0.5897542690545606,4.166666666666667,0.7486690328305234
655,0.998046875,0.2,4,p_weights,ba,10366,0.8901326988687256,0.5980841316118284,3.8333333333333335,0.667036379769299
655,0.0,0.2,5,p_weights,ba,7076,0.7554506138599203,0.5331112036651395,13.000000000000002,0.8361904761904762
655,0.5,0.2,5,p_weights,ba,7259,0.8279159778482201,0.5397750937109538,5.0,0.8017233560090703
655,0.75,0.2,5,p_weights,ba,7137,0.7617405093992768,0.5147855060391504,10.0,0.9486621315192744
655,0.875,0.2,5,p_weights,ba,6805,0.4605892125609515,0.3248646397334444,3.9,0.9296145124716553
655,0.9375,0.2,5,p_weights,ba,6129,0.7617405093992768,0.5147855060391504,10.0,0.8911564625850341
655,0.96875,0.2,5,p_weights,ba,7409,0.7017503813352962,0.51228654727197,27.0,0.7153741496598638
655,0.984375,0.2,5,p_weights,ba,7668,0.9482252114234364,0.6322365680966264,2.333333333333333,0.8370975056689343
655,0.9921875,0.2,5,p_weights,ba,8786,0.8349262938716921,0.5697625989171178,6.0,0.7973696145124716
655,0.99609375,0.2,5,p_weights,ba,11012,0.7987161765210847,0.5522698875468555,8.333333333333334,0.6337414965986394
